         79804477 function calls (79163147 primitive calls) in 1254.474 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1001.553 1001.553 1044.631 1044.631 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1252(<dictcomp>)
   251120    0.056    0.000    0.056    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3241(_around_dispatcher)
        3    0.047    0.016    0.047    0.016 {pandas._libs.algos.ensure_object}
       14    0.044    0.003    0.044    0.003 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/indexes/base.py:5109(__contains__)
   250586    0.043    0.000    0.043    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/utils.py:67(appmap_tls)
    52477    0.041    0.000    0.041    0.000 {method 'cast' of 'memoryview' objects}
       70    0.041    0.001    0.042    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/bezier.py:200(__call__)
        1    0.035    0.035    0.035    0.035 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/font_manager.py:1461(_get_font)
   125317    0.034    0.000    0.034    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/_appmap/wrapt/wrappers.py:674(_unpack_self)
     4694    0.032    0.000    0.032    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.032    0.032    0.375    0.375 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:434(<listcomp>)
   143318    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
   177776    0.030    0.000    0.030    0.000 /usr/lib/python3.8/gzip.py:314(closed)
        1    0.030    0.030    0.148    0.148 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/figure.py:2408(__init__)
        5    0.029    0.006    0.029    0.006 {pandas._libs.lib.infer_dtype}
   127017    0.027    0.000    0.027    0.000 {built-in method builtins.callable}
      364    0.027    0.000    0.296    0.001 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/matplotlib/text.py:363(_get_layout)
       36    0.027    0.001    0.027    0.001 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   125281    0.025    0.000    0.032    0.000 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:1256(<genexpr>)
        9    0.025    0.003    0.025    0.003 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/linalg/linalg.py:469(inv)
       45    0.025    0.001    0.027    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6562    0.024    0.000    0.058    0.000 /usr/lib/python3.8/gzip.py:421(_read_gzip_header)
       15    0.023    0.002    0.023    0.002 {built-in method posix.lstat}
     6561    0.023    0.000    0.057    0.000 /usr/lib/python3.8/gzip.py:509(_read_eof)
     1778    0.022    0.000    0.055    0.000 {built-in method builtins.max}
        2    0.021    0.010    0.021    0.010 {pandas._libs.algos.take_1d_int64_int64}
   125280    0.020    0.000    0.020    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraypad.py:521(_pad_dispatcher)
        5    0.020    0.004    0.020    0.004 {method 'argsort' of 'numpy.ndarray' objects}
    52478    0.019    0.000    0.025    0.000 /usr/lib/python3.8/_compression.py:12(_check_not_closed)
        2    0.018    0.009    0.018    0.009 {pandas._libs.algos.groupsort_indexer}
        1    0.017    0.017   22.316   22.316 /mnt/c/Users/evobi/Desktop/SNPio/snpio/read_input/genotype_data.py:415(_detect_file_format)
       77    0.017    0.000    0.018    0.000 {pandas._libs.lib.maybe_convert_objects}
       52    0.016    0.000    0.016    0.000 {method 'add_index_reference' of 'pandas._libs.internals.BlockValuesRefs' objects}
    26244    0.016    0.000    0.037    0.000 /usr/lib/python3.8/gzip.py:405(_read_exact)
     6562    0.016    0.000    0.016    0.000 {built-in method zlib.decompressobj}
      157    0.015    0.000    0.015    0.000 {pandas._libs.lib.is_list_like}
    19683    0.015    0.000    0.015    0.000 {built-in method _struct.unpack}
        2    0.014    0.007    0.014    0.007 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.013    0.013    0.013    0.013 {built-in method PIL._imaging.fill}
        8    0.012    0.002    0.012    0.002 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/numpy/lib/arraysetops.py:524(in1d)
        2    0.012    0.006    0.012    0.006 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
       29    0.012    0.000    0.012    0.000 /mnt/c/Users/evobi/Desktop/SNPio/.snpio-test/lib/python3.8/site-packages/pandas/core/indexes/base.py:820(_engine)
